instance_seed,alpha,tuning_seed,achieved_H,params
0,0.006,35,0.16490906,"[2.7670711173398805, 3.437738458426435]"
0,0.006,36,0.16490159,"[2.766912780513344, 3.450510282725769]"
0,0.006,37,0.16490533,"[2.767738263349563, 3.4439439170664206]"
0,0.006,38,0.16494159,"[2.765692661801223, 3.4078017525759803]"
0,0.006,39,0.16489726,"[2.7680337589267303, 3.4800095847559427]"
0,0.006,40,0.16489713,"[2.7677726000924796, 3.464150084028847]"
0,0.01,1,0.26300017,"[2.825767534148731, 2.390689648599904]"
0,0.01,2,0.26299991,"[2.8258149803385217, 2.391550152380275]"
0,0.01,3,0.26300549,"[2.8256127750143754, 2.3816153007767626]"
0,0.01,4,0.26299946,"[2.825860751901715, 2.393520430708635]"
0,0.01,5,0.26300073,"[2.8256616027267123, 2.389198501403342]"
0,0.01,6,0.26300106,"[2.8256906270248083, 2.3884168365481036]"
0,0.01,7,0.26300038,"[2.8263298845763853, 2.4031456213039846]"
0,0.01,8,0.26299929,"[2.82596144839783, 2.394847676810649]"
0,0.01,9,0.26299965,"[2.825751837932492, 2.3926082224957907]"
0,0.01,10,0.2630035,"[2.8255116196255425, 2.3841575629934035]"
0,0.01,11,0.26302076,"[2.8244565441704546, 2.3691826296531366]"
0,0.01,12,0.26300103,"[2.8255797733149013, 2.4028218859419934]"
0,0.01,13,0.26300184,"[2.825681313113576, 2.3868728512409456]"
0,0.01,14,0.26300503,"[2.8265596501433685, 2.4112780135562044]"
0,0.01,15,0.26299997,"[2.825777684600583, 2.3913335522981836]"
0,0.01,16,0.2630004,"[2.826123524620614, 2.403327561536172]"
0,0.01,17,0.26300179,"[2.8252619597088984, 2.3876616640942028]"
0,0.01,18,0.26300219,"[2.8255886199538582, 2.3862278680092586]"
0,0.01,19,0.26300081,"[3.4570646247477606, -2.404350288949948]"
0,0.01,20,0.26302325,"[2.8245126968962726, 2.367412102868886]"
0,0.01,21,0.26300272,"[2.8257124719430964, 2.3854043716039492]"
0,0.01,22,0.26299955,"[2.8261206850098195, 2.400338882470537]"
0,0.01,23,0.26299973,"[0.3158519741192954, -2.392272579075676]"
0,0.01,24,0.26299923,"[2.8259436123291266, 2.395496974237642]"
0,0.01,25,0.26300046,"[-0.31589434756650653, 2.38987490213554]"
0,0.01,26,0.26300323,"[2.8256111044774403, 2.3845682736888065]"
0,0.01,27,0.26300018,"[3.4574654069801216, -2.3906596689104975]"
0,0.01,28,0.26300065,"[2.8257345265392657, 2.389375413807426]"
0,0.01,29,0.26300633,"[2.825324169963973, 2.3805816615529385]"
0,0.01,30,0.26301053,"[0.3162571728474489, -2.376369630973252]"
0,0.01,31,0.26299959,"[2.8259075086749474, 2.392892305310879]"
0,0.01,32,0.26301098,"[2.8265333645061883, 2.4174546420603513]"
0,0.01,33,0.26300177,"[2.825602442762784, 2.3869911989208212]"
0,0.01,34,0.26299976,"[2.825864654749062, 2.3921361986238914]"
0,0.01,35,0.26299964,"[2.826016855524249, 2.4007133773655025]"
0,0.01,36,0.26299956,"[2.82611296637185, 2.400378039023326]"
0,0.01,37,0.26299952,"[2.8258882139962482, 2.393201711802694]"
0,0.01,38,0.26300261,"[2.8254598636233594, 2.385579205791038]"
0,0.01,39,0.26299951,"[2.8258027384746476, 2.3932662926179127]"
0,0.01,40,0.26299999,"[2.8258225128947467, 2.3912984780563704]"
0,0.0209,1,0.45964621,"[2.855884625089004, 1.2531462735078476]"
0,0.0209,2,0.45964604,"[2.8560679898918853, 1.2559996912141762]"
0,0.0209,3,0.45964587,"[2.855891988989814, 1.254031240116949]"
0,0.0209,4,0.45964578,"[2.8559731377951563, 1.2550033634811741]"
0,0.0209,5,0.45964585,"[2.855934130905766, 1.255258024483972]"
0,0.0209,6,0.45964579,"[2.8559538843940397, 1.2543788186211149]"
0,0.0209,7,0.45964578,"[2.8559446584980326, 1.2546366491610508]"
0,0.0209,8,0.45964581,"[2.855981708567201, 1.2542409669340164]"
0,0.0209,9,0.45964617,"[2.8560611824585838, 1.25626830973438]"
0,0.0209,10,0.45964581,"[2.855962883970268, 1.2542608001871893]"
0,0.0209,11,0.45964601,"[2.8558449635387024, 1.2536408466186035]"
0,0.0209,12,0.45964599,"[2.856132469739622, 1.255813712444474]"
0,0.0209,13,0.45964597,"[2.8559871016843723, 1.2537242108225488]"
0,0.0209,14,0.45964582,"[2.856006086502529, 1.2552845013607654]"
0,0.0209,15,0.45964593,"[2.855990204956617, 1.2556665833876521]"
0,0.0209,16,0.45964593,"[2.855966914415053, 1.2537972042741194]"
0,0.0209,17,0.4596458,"[2.8559793502363147, 1.2551265100516438]"
0,0.0209,18,0.45964578,"[2.8560148165839987, 1.2549839641337552]"
0,0.0209,19,0.45964579,"[0.2856511250225731, -1.2544018646321926]"
0,0.0209,20,0.45964582,"[2.85601335124777, 1.2553160140383897]"
0,0.0209,21,0.45964578,"[2.856037858354332, 1.2550415983815597]"
0,0.0209,22,0.4596467,"[2.856179119094855, 1.2570620499722376]"
0,0.0209,23,0.45964584,"[2.8559637324830143, 1.2540818379374754]"
0,0.0209,24,0.45964577,"[2.8560010521819614, 1.254657946272676]"
0,0.0209,25,0.45964587,"[2.8560121903217133, 1.2555013554079653]"
0,0.0209,26,0.45964587,"[2.856096988414014, 1.255435111407845]"
0,0.0209,27,0.45964581,"[2.855907344845795, 1.2548635078504176]"
0,0.0209,28,0.45964589,"[2.855972348254242, 1.2555069359126143]"
0,0.0209,29,0.45964632,"[2.85594029258802, 1.2529829383882631]"
0,0.0209,30,0.45964589,"[0.2857076228125572, -1.2539605203062048]"
0,0.0209,31,0.45964582,"[2.856023805808507, 1.2553306971445275]"
0,0.0209,32,0.4596459,"[2.8559281973960484, 1.2538870557529196]"
0,0.0209,33,0.45964586,"[2.8559300297769536, 1.254004106817629]"
0,0.0209,34,0.45964578,"[2.8559547224006505, 1.25487105329684]"
0,0.0209,35,0.45964588,"[2.85604013694188, 1.2555615833824179]"
0,0.0209,36,0.45964578,"[2.8559530043822123, 1.2544463619824622]"
0,0.0209,37,0.45964586,"[-0.2855511272906391, 1.2554993319134884]"
0,0.0209,38,0.45964604,"[2.856071142584457, 1.2560114751223375]"
0,0.0209,39,0.45964594,"[2.8561187649386666, 1.255696493537754]"
0,0.0209,40,0.4596459,"[2.8560006154755513, 1.2555896447992188]"
0,0.021,1,0.46131653,"[2.856035000625225, 1.248208077033787]"
0,0.021,2,0.46131649,"[2.8561132882723217, 1.2484367190041497]"
0,0.021,3,0.46131694,"[2.8559497945887724, 1.2473596405594178]"
0,0.021,4,0.46131641,"[2.8560136686950117, 1.2487392442844027]"
0,0.021,5,0.46131804,"[2.855870495159803, 1.2460686503401806]"
0,0.021,6,0.46131653,"[2.856141352393317, 1.250123240279714]"
0,0.021,7,0.46131651,"[2.8561415210110663, 1.2500434470544455]"
0,0.021,8,0.46131668,"[2.855999553080561, 1.2478178935256814]"
0,0.021,9,0.46131645,"[2.8560094334949233, 1.248496975656893]"
0,0.021,10,0.46131638,"[2.856084409548063, 1.2494299315739181]"
0,0.021,11,0.46131639,"[2.856040140476501, 1.2492727198944056]"
0,0.021,12,0.4613164,"[2.856054166614977, 1.2487361176920293]"
0,0.021,13,0.46131641,"[2.856035307615896, 1.2486499032188265]"
0,0.021,14,0.46131638,"[2.8560520504140907, 1.2492622122912682]"
0,0.021,15,0.46131657,"[2.856184096835777, 1.2502058101925653]"
0,0.021,16,0.46131642,"[2.8560559279210795, 1.2486079847596336]"
0,0.021,17,0.46131645,"[2.8560646857825143, 1.2484889286783598]"
0,0.021,18,0.46131637,"[2.8560935028557433, 1.2492416060232179]"
0,0.021,19,0.46131661,"[-0.2855177266721569, 1.2502309071074031]"
0,0.021,20,0.46131654,"[2.8562106416936635, 1.2500665546695955]"
0,0.021,21,0.4613164,"[3.427071492377675, -1.249558559253665]"
0,0.021,22,0.4613164,"[2.8561283188555575, 1.2495285816149178]"
0,0.021,23,0.4613166,"[2.8559519154410333, 1.2480569723457042]"
0,0.021,24,0.46131641,"[0.285552836815404, -1.2487019760399376]"
0,0.021,25,0.46131735,"[2.856215153894239, 1.2515208886696805]"
0,0.021,26,0.46131644,"[2.8561288441306645, 1.2497784221898052]"
0,0.021,27,0.46131662,"[2.8561112773725674, 1.2503085593142187]"
0,0.021,28,0.46131653,"[2.856135540202778, 1.250094692719242]"
0,0.021,29,0.46131653,"[2.8560968833242315, 1.2482689313609994]"
0,0.021,30,0.46131643,"[2.856121588678461, 1.2497443832945727]"
0,0.021,31,0.46131638,"[2.8560647433462294, 1.2492635610934635]"
0,0.021,32,0.46131662,"[2.85607259820216, 1.2479926834980248]"
0,0.021,33,0.46131671,"[2.855976248779967, 1.2477657221431118]"
0,0.021,34,0.46131654,"[2.8561445949904343, 1.2501462768158913]"
0,0.021,35,0.4613165,"[2.8562091003152434, 1.249904356508421]"
0,0.021,36,0.46131638,"[2.856097425300549, 1.2489930916231624]"
0,0.021,37,0.46131648,"[2.8560402428397005, 1.2483407373926674]"
0,0.021,38,0.46131678,"[2.8562168031924235, 1.250660832492834]"
0,0.021,39,0.46131645,"[2.8561464330526443, 1.2498392074173643]"
0,0.021,40,0.46131641,"[2.8560850655518806, 1.2496079472836086]"
0,0.03,1,0.60844803,"[-0.28063335476628926, 0.8892845300375178]"
0,0.03,2,0.60844798,"[2.86101379913675, 0.8891573302251584]"
0,0.03,3,0.60844798,"[2.861039425022656, 0.8890689599516649]"
0,0.03,4,0.60844797,"[2.861012995161913, 0.8890446957669541]"
0,0.03,5,0.6084481,"[2.860960523945093, 0.8894331222898281]"
0,0.03,6,0.60844799,"[2.8610488151417917, 0.8890600735999624]"
0,0.03,7,0.75796779,"[1.8169334384143931, -0.889497540291225]"
0,0.03,8,0.60844805,"[2.861042474682595, 0.8893760336658754]"
0,0.03,9,0.60844799,"[2.8609630236921113, 0.8891542265884865]"
0,0.03,10,0.60844799,"[2.8610022973300238, 0.8887513614701691]"
0,0.03,11,0.608448,"[2.8610554437528863, 0.8891103529271213]"
0,0.03,12,0.60844797,"[2.8609364961208876, 0.8888893778234589]"
0,0.03,13,0.60844796,"[2.8609800535142056, 0.8888640742368279]"
0,0.03,14,0.60844797,"[2.860951960057265, 0.8889269832580158]"
0,0.03,15,0.60844796,"[2.8610016567166148, 0.8889196330764066]"
0,0.03,16,0.60844805,"[2.8610811246559305, 0.8893001511097153]"
0,0.03,17,0.60844803,"[2.861028578717581, 0.8893198776471786]"
0,0.03,18,0.60844799,"[2.8609986140317005, 0.8891880126485406]"
0,0.03,19,0.60844841,"[0.28067735105403796, -0.8879855224051063]"
0,0.03,20,0.60844803,"[2.8609037390316523, 0.8886279010356337]"
0,0.03,21,0.60844805,"[2.861060368133182, 0.8893524867815245]"
0,0.03,22,0.75796774,"[1.324596161353265, 0.8893400442157028]"
0,0.03,23,0.60844796,"[2.860975214564506, 0.8889255545454237]"
0,0.03,24,0.60844799,"[2.8609958597744996, 0.8891986723300924]"
0,0.03,25,0.60844806,"[2.8610247594061353, 0.8894100523751575]"
0,0.03,26,0.60844836,"[2.8609165806864905, 0.8880389902618514]"
0,0.03,27,0.60844796,"[2.860970743253353, 0.8890015854581838]"
0,0.03,28,0.608448,"[2.8609507487762613, 0.8886595151079112]"
0,0.03,29,0.60844813,"[2.8609893118904286, 0.8895248832592406]"
0,0.03,30,0.60844805,"[0.2806443630517555, -0.8885187509603156]"
0,0.03,31,0.60844811,"[2.861085835990147, 0.8894633800910848]"
0,0.03,32,0.60844802,"[2.860965325996289, 0.8892695204296276]"
0,0.03,33,0.60844799,"[2.860929115733055, 0.8887422873111183]"
0,0.03,34,0.7579678,"[1.3246043908835934, 0.8894838503140398]"
0,0.03,35,0.60844807,"[0.2806198937294288, -0.8884955793340118]"
0,0.03,36,0.60844797,"[2.860945007367349, 0.8888884079218543]"
0,0.03,37,0.60844797,"[-0.28060348343302105, 0.8891022850390973]"
0,0.03,38,0.60844841,"[2.8610867739473744, 0.8899202223163467]"
0,0.03,39,0.60844847,"[2.8611267269896232, 0.8899623072538684]"
0,0.03,40,0.60844799,"[2.8609239407141116, 0.888743726680033]"
0,0.06,1,1.08305517,"[3.4185877571552497, -0.450078588646518]"
0,0.06,2,1.30000681,"[1.3183241163022485, 0.4498901547610174]"
0,0.06,3,1.30000689,"[1.3183696173693331, 0.4500782710225525]"
0,0.06,4,1.08305523,"[2.8645790008098833, 0.44996340855746547]"
0,0.06,5,1.08305519,"[0.27704667394010835, -0.45009617789528333]"
0,0.06,6,1.08305518,"[2.864613500400312, 0.45007735087531403]"
0,0.06,7,1.61148642,"[2.403223766367447, 3.2563694855408025]"
0,0.06,8,1.30000681,"[1.318332177190919, 0.4499096129938601]"
0,0.06,9,1.61148642,"[2.4032324626136696, 3.2563576468791817]"
0,0.06,10,1.08305517,"[2.8646054877262106, 0.45013820179552483]"
0,0.06,11,1.0830552,"[2.8645948117464815, 0.4500063344277284]"
0,0.06,12,1.08305523,"[2.8646517438182855, 0.45019368837083096]"
0,0.06,13,1.08305517,"[2.864568409922865, 0.450100828560454]"
0,0.06,14,1.61148642,"[2.403240206786162, 3.2563373488116123]"
0,0.06,15,1.08305517,"[2.8645742059488626, 0.4500739346402185]"
0,0.06,16,1.08305522,"[2.8645696366836177, 0.450189552129913]"
0,0.06,17,1.08305518,"[2.8645641887853532, 0.4500191005518355]"
0,0.06,18,1.08305527,"[0.2770147465434516, -0.4499266647641029]"
0,0.06,19,1.08305517,"[0.2770321896193582, -0.45007413853107825]"
0,0.06,20,1.08305518,"[0.2769723493582633, -0.45008456940353414]"
0,0.06,21,1.30000686,"[1.3183235331609882, 0.44979095003806513]"
0,0.06,22,1.30000694,"[1.3183212437553962, 0.4497134369274213]"
0,0.06,23,1.30000776,"[1.3182352883176283, 0.449333720662918]"
0,0.06,24,1.08305517,"[2.8645875227130855, 0.45014330104275474]"
0,0.06,25,1.30000682,"[1.3183429753211577, 0.449893621678989]"
0,0.06,26,1.08305517,"[2.864577027018792, 0.45012348740953406]"
0,0.06,27,1.3000068,"[1.318314056691945, 0.4499083379782722]"
0,0.06,28,1.08305516,"[2.8645919961183637, 0.45011576177793133]"
0,0.06,29,1.30000728,"[1.318433347430362, 0.4503157868292816]"
0,0.06,30,1.08305518,"[0.27700741722705857, -0.45015397435002585]"
0,0.06,31,1.08305517,"[2.8645715567112617, 0.4501136994151283]"
0,0.06,32,1.61148642,"[2.4032028173698197, 3.256369643603324]"
0,0.06,33,1.08305549,"[2.8646105279901506, 0.45038642289124126]"
0,0.06,34,1.61148642,"[-0.7383726389215938, 3.256363451819141]"
0,0.06,35,1.30000683,"[1.3183389872279112, 0.45001784411469925]"
0,0.06,36,1.30000682,"[1.3183487842674388, 0.4499609495100691]"
0,0.06,37,1.08305517,"[2.8645690742979966, 0.45010535952749536]"
0,0.06,38,1.30000682,"[1.8232637308695583, -0.44999037406100206]"
0,0.06,39,1.3000068,"[1.3183208107894204, 0.44991890805295653]"
0,0.06,40,1.0830552,"[2.8645357762330357, 0.4500212755767424]"
0,0.1,1,1.70801213,"[2.865384621802475, 0.2708884660840611]"
0,0.1,2,2.4306931,"[2.392777864769419, 2.0117115497403395]"
0,0.1,3,2.0399548,"[1.3170233561640958, 0.2706160653151107]"
0,0.1,4,1.708012,"[3.4178095863033295, -0.27079919776902167]"
0,0.1,5,1.708012,"[0.27622537966884453, -0.2707898642102505]"
0,0.1,6,1.70801206,"[2.8653955857635696, 0.2707705458251081]"
0,0.1,7,2.45579383,"[3.8940043021769446, 2.216962489036395]"
0,0.1,8,2.4306931,"[2.392705882930879, 2.011739527538557]"
0,0.1,9,2.43069309,"[2.392739998754702, 2.0117196060803773]"
0,0.1,10,1.70801203,"[2.865369945793371, 0.2708444985096369]"
0,0.1,11,1.70801224,"[2.8652652356103174, 0.27079080401884753]"
0,0.1,12,1.70801204,"[2.865332529957847, 0.2707646621113179]"
0,0.1,13,1.70801205,"[3.417801524315132, -0.27076168137417245]"
0,0.1,14,2.4306931,"[2.392753387271453, 2.0117295373917816]"
0,0.1,15,1.70801214,"[2.86542820124962, 0.2708766818624801]"
0,0.1,16,1.70801204,"[2.8654043765828083, 0.2708215070373265]"
0,0.1,17,2.43069309,"[2.392745945319661, 2.011723660176427]"
0,0.1,18,2.03995478,"[1.3169469512408052, 0.2706287499344805]"
0,0.1,19,2.43069311,"[2.3926948761808235, 2.0116899853994417]"
0,0.1,20,2.03995479,"[1.3169986079706735, 0.27059691273306236]"
0,0.1,21,2.03995477,"[1.3169707256967436, 0.2706696022967449]"
0,0.1,22,2.43069311,"[2.392701523955373, 2.0116831487355538]"
0,0.1,23,2.03995476,"[1.316987157773603, 0.2706105448805025]"
0,0.1,24,1.70801204,"[2.8653325483421646, 0.27081444953371886]"
0,0.1,25,2.03995475,"[1.3169874345353076, 0.27064637638937156]"
0,0.1,26,1.70801201,"[2.865351674231147, 0.270783002557579]"
0,0.1,27,2.43069309,"[-0.7488601612863306, 2.0117215320435387]"
0,0.1,28,2.43069312,"[2.392718910936968, 2.011773620392212]"
0,0.1,29,1.70801204,"[-0.27622034366994375, 0.27075734115126143]"
0,0.1,30,2.4306931,"[2.392757570856433, 2.0116818909183967]"
0,0.1,31,1.70801202,"[2.865341305260235, 0.2707802510525437]"
0,0.1,32,1.7080121,"[0.27620689737735027, -0.27073977147220546]"
0,0.1,33,2.4306931,"[2.392764415614061, 2.011689827511202]"
0,0.1,34,2.4306931,"[2.3927334990785036, 2.0116824783969633]"
0,0.1,35,2.03995477,"[1.3169627093291156, 0.2706576196947461]"
0,0.1,36,2.43069309,"[2.3927376411143095, 2.0117124905920036]"
0,0.1,37,1.70801216,"[3.417879757150752, -0.270713106401548]"
0,0.1,38,1.70801205,"[3.4178098561722337, -0.2707557026553851]"
0,0.1,39,2.03995496,"[1.3169672612750958, 0.27051167365666634]"
0,0.1,40,1.70801219,"[2.8653281753317232, 0.2706967185882998]"
0,0.3,1,4.81942963,"[2.865576797859112, 0.0903412917628685]"
0,0.3,2,5.13492308,"[3.40738049157689, 1.3197617831844946]"
0,0.3,3,5.1349238,"[0.2657518657945064, 1.3197388740007316]"
0,0.3,4,4.81942871,"[2.8656196690039675, 0.09040345071222029]"
0,0.3,5,5.1349266,"[0.26556980974048616, 1.319755625204912]"
0,0.3,6,6.66913791,"[3.8993545818373407, 0.7355413282715147]"
0,0.3,7,5.92793242,"[0.2447590271781608, 2.7254393184302237]"
0,0.3,8,6.10552493,"[1.3277661584485243, 1.5098582620570602]"
0,0.3,9,5.13492375,"[0.2656869439858656, 1.3197682114583507]"
0,0.3,10,5.92792601,"[3.386548807908837, 2.725412463768065]"
0,0.3,11,4.81943144,"[2.8655089301905274, 0.09038291379922155]"
0,0.3,12,6.6609826,"[0.7567096103377179, -0.6784657445108101]"
0,0.3,13,4.81942734,"[2.865713381041011, 0.09036902206971406]"
0,0.3,14,5.92793573,"[3.386293627653645, 2.7254494847611936]"
0,0.3,15,4.81946706,"[0.27660070877609266, -0.0902668564623596]"
0,0.3,16,4.81942998,"[2.865567888251359, 0.09033579356603706]"
0,0.3,17,5.95887515,"[1.8180035513709418, 1.3206296071339263]"
0,0.3,18,6.10552308,"[1.3277855797376277, 1.5099086636212924]"
0,0.3,19,5.92793284,"[3.386960057082403, 2.7254037809571305]"
0,0.3,20,4.8194341,"[0.2755193196904806, -0.09045245818955515]"
0,0.3,21,5.13492772,"[3.4075955700966856, 1.319867251543229]"
0,0.3,22,5.9279264,"[0.24509999901888233, 2.7253729402789273]"
0,0.3,23,5.13492289,"[0.2657750473773032, 1.3197811438209908]"
0,0.3,24,5.12782518,"[2.8748799639953497, 1.5084558086204813]"
0,0.3,25,5.95888224,"[1.8177187093818188, 1.32055743020425]"
0,0.3,26,5.92792685,"[3.386786413020644, 2.72540427314098]"
0,0.3,27,6.66912848,"[0.7564327787718742, 0.7357148161778422]"
0,0.3,28,4.81942706,"[0.2758469248853275, -0.09039023022324127]"
0,0.3,29,5.77061304,"[1.3165460045352266, 0.09033873470705389]"
0,0.3,30,5.92792737,"[3.386805947307312, 2.72544998563938]"
0,0.3,31,4.8194274,"[2.8656977649687114, 0.09040063929240236]"
0,0.3,32,5.12782527,"[2.874954137213081, 1.5084996790734009]"
0,0.3,33,5.92792893,"[3.3864970488158033, 2.7254765729538475]"
0,0.3,34,5.92792546,"[0.2450936136607991, 2.7254049148689647]"
0,0.3,35,5.92615612,"[2.895267318361591, 2.9313481836725823]"
0,0.3,36,5.92793722,"[3.387047354907427, 2.725419213946136]"
0,0.3,37,6.66914568,"[0.7555674080076819, 0.7357318565553349]"
0,0.3,38,4.81943045,"[2.8655966604931877, 0.09031444716737201]"
0,0.3,39,6.10551989,"[1.3280114054144867, 1.5099688627272683]"
0,0.3,40,4.81944488,"[3.4179359171911736, -0.09029867925869499]"
0,1.0,1,16.60915801,"[2.857190860457221, 1.3009167739011158]"
0,1.0,2,16.08796994,"[2.864419153742759, 0.8760892434853136]"
0,1.0,3,15.72355325,"[2.8553259414769943, 0.02671959146208017]"
0,1.0,4,17.1664822,"[2.8753007716844836, 1.7262732923617232]"
0,1.0,5,18.77820484,"[3.3957425618228276, 2.5160773224197053]"
0,1.0,6,22.0386825,"[2.3753503169967356, 1.0523288694258772]"
0,1.0,7,21.80077113,"[2.336351077560902, -0.21988507253500736]"
0,1.0,8,15.799068,"[2.8707603096105694, 0.4518406834791625]"
0,1.0,9,20.71917756,"[2.9051115159972265, 3.4270340988719483]"
0,1.0,10,15.70401413,"[3.422138395524275, -0.026977649636367954]"
0,1.0,11,15.70635573,"[-0.2815472343133882, 0.026876706146311765]"
0,1.0,12,17.91555804,"[2.881573881107473, 2.151418161327095]"
0,1.0,13,15.70413963,"[2.870571687152161, 0.027240613500926936]"
0,1.0,14,16.55447759,"[2.867300005537286, 1.301016698223072]"
0,1.0,15,15.79917949,"[2.8625637816691176, 0.45151992085680304]"
0,1.0,16,15.70124769,"[2.86901605102049, 0.02721191764379697]"
0,1.0,17,17.92057007,"[2.879259458723241, 2.151294614597945]"
0,1.0,18,17.16906387,"[2.883715222237137, 1.7263703611862804]"
0,1.0,19,17.1767436,"[3.398907581807573, 1.6686222358263825]"
0,1.0,20,21.75489783,"[2.3487752117772893, 0.20456892229609433]"
0,1.0,21,20.61402816,"[1.8022593928306567, 2.092241298042553]"
0,1.0,22,21.91997256,"[2.338133153874629, 0.6299532467908248]"
